Id,CompanyId,Name,IsActive,MarketSourceMasterId,LastModifiedBy,DateCreated,SortOrder,WebActive,DateUpdated,CommunityId,MarketSourceId,Spend
20217,138,A Place for Mom,1,14,114,09:39.9,11,1,51:50.3,NULL,NULL,NULL
21531,138,EMAIL BLAST,1,28,114,09:39.9,1702,1,51:50.3,NULL,NULL,NULL
21586,138,Referral: FAM/FRIEND,1,27,114,09:39.9,2574,1,51:50.3,NULL,NULL,NULL
21954,138,Outreach,1,22,114,09:39.9,2200,1,52:00.6,NULL,NULL,NULL
22322,138,Referral: Other,1,14,114,09:39.9,2576,1,51:50.3,NULL,NULL,NULL
22332,138,Referral: Professional,1,14,114,09:39.9,2577,1,51:50.3,NULL,NULL,NULL
22340,138,Referral: Resident,1,26,114,09:39.9,2578,1,51:50.3,NULL,NULL,NULL
22518,138,WEBSITE,1,15,114,09:39.9,2808,1,51:50.3,NULL,NULL,NULL
40470,138,Social Media/Facebook,1,15,6399,42:51.1,2649,1,51:50.3,NULL,NULL,NULL
40591,138,Adv.Directories,1,11,13521,50:53.4,512,1,51:50.3,NULL,NULL,NULL
40592,138,Adv.Magazines/Programs,1,11,13521,51:02.1,513,1,51:50.3,NULL,NULL,NULL
40593,138,DM Invitations,1,21,13521,51:17.0,1343,1,51:50.3,NULL,NULL,NULL
40598,138,Adv.Newspaper,1,11,6450,42:02.0,514,1,51:50.3,NULL,NULL,NULL
40626,138,Adv. Pioneer Press Newspaper,1,11,6450,48:02.9,511,1,51:50.3,945,NULL,NULL
40644,138,Referral: Internal Rehab,1,25,2849,59:30.4,2575,1,51:50.3,NULL,NULL,NULL
40645,138,Leading Response Event,1,13,2849,34:54.9,1886,1,51:50.3,NULL,NULL,NULL
40646,138,PPC Form Fills,1,17,2849,48:18.7,2414,1,51:50.3,NULL,NULL,NULL
40649,138,Conversion Logix,1,15,2849,59:25.3,946,1,51:50.3,NULL,NULL,NULL
40650,138,Counselor Calls: Call Blitz,1,16,2849,28:28.7,950,1,51:50.3,NULL,NULL,NULL
40651,138,Counselor Calls: Reminder Calls,1,16,2849,28:41.1,951,1,51:50.3,NULL,NULL,NULL
40652,138,Caring.com,1,14,2849,11:29.3,865,1,51:50.3,NULL,NULL,NULL
40653,138,Elderworks,1,14,2849,12:16.2,1701,1,51:50.3,NULL,NULL,NULL
40654,138,Lives in area,1,22,2849,27:34.8,1963,1,51:50.3,NULL,NULL,NULL
40655,138,Paid Social Media,1,17,29573,31:30.6,2202,1,51:50.3,NULL,NULL,NULL
40656,138,Further-VSA,1,15,11645,51:01.9,1802,1,51:50.3,NULL,NULL,NULL
40657,138,Further-Webform,1,15,11645,57:21.7,1803,1,51:50.3,NULL,NULL,NULL
40658,138,Survey: ProMatura Expansion 2024,1,21,36136,14:18.9,2681,1,42:29.4,946,NULL,NULL
40659,138,Survey: SageAge 2024,1,21,2849,39:11.6,2682,1,39:11.6,NULL,NULL,NULL
40660,138,Web: Organic Search,1,29,2849,08:52.3,2792,1,08:52.3,NULL,NULL,NULL
40661,138,Web: Programmatic Ads,1,31,2849,09:23.0,2793,1,09:23.0,NULL,NULL,NULL